id,user_id,order_date,status
1,31,2024-12-28T11:18:02,delivered
2,13,2024-07-14T08:46:51,pending
3,7,2025-05-08T00:52:18,delivered
4,23,2025-10-23T06:00:23,delivered
5,27,2025-09-25T02:23:18,delivered
6,47,2023-08-13T14:43:48,pending
7,44,2024-10-26T18:47:20,pending
8,4,2025-04-04T08:09:12,delivered
9,47,2025-11-14T00:17:09,shipped
10,7,2025-07-08T16:16:19,processing
11,13,2024-10-31T08:53:22,processing
12,35,2025-02-23T15:28:17,delivered
13,9,2024-03-21T10:43:28,delivered
14,12,2025-10-01T10:50:04,shipped
15,30,2025-05-04T04:18:22,processing
16,5,2024-05-09T19:02:54,delivered
17,36,2025-10-30T21:31:51,pending
18,4,2025-07-07T13:31:33,cancelled
19,1,2025-10-23T14:33:54,pending
20,49,2025-02-17T10:11:51,processing
21,11,2025-07-18T02:42:40,delivered
22,32,2025-04-10T09:47:57,delivered
23,14,2025-10-25T20:48:38,delivered
24,4,2025-01-03T16:50:26,processing
25,25,2025-10-04T06:33:06,pending
26,25,2025-10-22T22:33:44,shipped
27,30,2025-01-13T23:17:40,shipped
28,28,2024-08-13T00:10:41,cancelled
29,43,2025-10-04T05:23:57,delivered
30,10,2025-06-03T06:34:18,processing
31,19,2025-03-09T01:53:14,processing
32,4,2025-03-15T07:22:00,cancelled
33,48,2023-02-10T06:47:55,cancelled
34,4,2025-07-15T23:01:12,shipped
35,4,2025-03-06T11:10:56,pending
36,38,2025-07-16T16:53:17,delivered
37,33,2025-10-17T05:14:40,cancelled
38,11,2025-06-26T06:11:02,pending
39,33,2025-08-26T16:09:29,pending
40,12,2025-10-26T07:42:11,pending
41,39,2025-09-15T07:36:37,pending
42,44,2024-06-04T00:37:01,processing
43,26,2024-11-13T17:41:19,pending
44,37,2025-11-05T20:01:00,processing
45,38,2025-10-25T13:12:22,cancelled
46,3,2024-01-28T02:05:34,cancelled
47,6,2025-01-08T13:07:18,delivered
48,43,2025-07-07T23:00:30,cancelled
49,37,2025-07-05T07:00:25,cancelled
50,21,2024-05-01T07:54:13,shipped
51,14,2024-03-09T19:40:04,shipped
52,16,2025-04-15T04:24:29,shipped
53,26,2025-05-29T16:00:12,processing
54,43,2025-10-08T20:38:19,shipped
55,30,2025-06-25T02:38:49,shipped
56,49,2025-10-25T23:42:50,pending
57,1,2025-10-12T16:56:44,delivered
58,40,2025-10-05T23:36:11,cancelled
59,7,2025-08-25T23:05:33,pending
60,35,2025-03-15T08:29:31,processing
61,33,2025-04-17T13:40:06,shipped
62,9,2024-01-16T21:56:01,shipped
63,5,2024-06-16T07:32:40,processing
64,24,2024-08-15T20:28:17,shipped
65,11,2025-09-08T22:22:31,delivered
66,35,2024-05-01T02:24:28,shipped
67,40,2025-05-27T00:40:42,cancelled
68,1,2025-11-02T06:31:03,cancelled
69,20,2025-04-18T13:17:50,pending
70,9,2024-11-07T05:30:30,shipped
71,8,2025-02-02T00:27:33,pending
72,48,2025-03-31T10:59:22,cancelled
73,10,2024-12-09T15:54:24,shipped
74,19,2025-05-20T08:04:25,cancelled
75,14,2025-08-04T16:58:15,shipped
76,14,2025-03-05T19:42:41,shipped
77,33,2025-08-17T08:08:53,delivered
78,17,2025-02-28T22:53:23,pending
79,6,2025-05-02T18:35:30,delivered
80,18,2025-03-01T18:00:15,pending
81,1,2025-10-14T04:35:18,shipped
82,50,2025-05-29T13:43:53,processing
83,41,2025-06-17T00:05:42,shipped
84,11,2025-07-03T09:51:14,delivered
85,36,2024-01-21T07:22:05,delivered
86,36,2024-05-12T01:03:13,pending
87,8,2024-08-01T05:12:56,pending
88,45,2024-04-05T03:39:44,processing
89,35,2025-07-29T13:47:25,pending
90,24,2024-06-20T05:38:43,cancelled
91,36,2024-05-10T10:09:21,processing
92,28,2024-07-01T07:41:39,processing
93,3,2024-12-16T02:17:08,shipped
94,24,2024-11-09T03:24:43,pending
95,23,2025-09-15T06:56:55,processing
96,44,2025-06-26T05:15:29,processing
97,43,2025-10-15T20:41:09,pending
98,23,2025-07-27T15:49:11,cancelled
99,27,2025-07-06T15:06:59,cancelled
100,48,2023-06-01T20:40:12,processing
101,16,2025-03-27T20:06:49,processing
102,12,2025-04-14T12:35:01,delivered
103,2,2025-07-21T04:47:46,processing
104,48,2024-07-10T07:24:24,shipped
105,27,2025-05-27T09:53:38,processing
106,18,2024-07-09T10:30:26,processing
107,45,2024-01-14T06:44:42,pending
108,25,2025-10-08T03:34:19,pending
109,31,2024-09-15T12:20:52,processing
110,13,2024-08-08T21:24:06,delivered
111,23,2024-12-29T01:32:46,shipped
112,15,2025-03-02T18:58:36,processing
113,2,2025-08-02T18:06:11,processing
114,26,2024-03-20T11:18:19,shipped
115,18,2025-04-28T10:26:20,pending
116,50,2025-03-11T07:59:03,shipped
117,23,2025-11-11T19:39:52,cancelled
118,26,2023-09-25T08:33:07,cancelled
119,22,2025-11-10T16:19:10,pending
120,8,2024-07-07T23:26:41,shipped
121,12,2025-06-20T18:27:47,cancelled
